model_name, MSE, RMSE, MAE, R2
Linear Regression,33756429.70235285,5810.028373627177,4214.909953083679,0.7825655038982294
Polinomial Regression,33756429.70235285,5810.028373627177,2788.4028664440816,0.865200209191969
Simple DT,22812669.85234084,4776.261074558303,2865.6378101751275,0.8530572866320028
Random Forest,19662062.560765702,4434.192436145019,2551.7674366072974,0.8733512192219903
Gradient Boosting,19532273.664025005,4419.5331952622555,2618.202322992361,0.8741872253876677
MLP,20301238.411556706,4505.689560051458,2690.1008191470137,0.8692341108588546
