model_name, MSE, RMSE, MAE, R2
Linear Regression,34090478.642161846,5838.705219666587,4013.635761670398,0.7429288388447097
Polinomial Regression,21927986.110592257,4682.732760962584,2828.912658076493,0.8346443618343531
Simple DT,11549835.331696074,3398.504867099071,694.7053526368159,0.9129044326118849
Random Forest,8503751.349090775,2916.119227516388,1390.3650937088646,0.9358744928038945
Gradient Boosting,7970010.284357603,2823.120664151216,1108.6698072603779,0.9398993537249589
MLP,16746116.811708556,4092.201951481446,2384.1841850023793,0.8737200571803104
